Column1;Genero;Edad;Altura;Peso;FAVC;FCVC;CH2O;FAF;TUE;CALC;TransporteUtilizado
1;Mujer;21;162;102;No;Si;RaraVez;10;10;Aveces;TransportePublico
2;Mujer;21;152;102;No;No;RaraVez;30;30;Aveces;TransportePublico
3;Hombre;23;180;77;No;No;RaraVez;20;10;Frecuentemente;TransportePublico
4;Hombre;27;185;87;No;No;RaraVez;20;30;Frecuentemente;Caminar
5;Hombre;22;178;89;No;No;RaraVez;10;30;Aveces;TransportePublico
6;Hombre;29;162;60;Si;No;RaraVez;10;30;Aveces;Automovil
7;Mujer;23;157;55;Si;No;Siempre;10;30;Aveces;Moto
8;Hombre;22;164;102;No;No;Siempre;30;30;Aveces;Caminar
9;Hombre;24;178;102;Si;Si;Siempre;10;10;Frecuentemente;TransportePublico
10;Hombre;22;172;102;Si;No;Siempre;10;10;Aveces;TransportePublico
11;Hombre;26;185;105;Si;Si;Siempre;20;20;Aveces;TransportePublico
12;Mujer;21;172;80;Si;No;Siempre;20;10;Aveces;TransportePublico
13;Hombre;22;165;68;No;No;RaraVez;20;30;Aveces;TransportePublico
14;Hombre;41;188;99;Si;Si;RaraVez;20;10;Frecuentemente;Automovil
15;Hombre;23;177;102;Si;No;Siempre;10;10;Aveces;TransportePublico
16;Mujer;22;172;102;No;Si;RaraVez;20;10;Aveces;Caminar
17;Hombre;27;193;102;Si;Si;RaraVez;10;30;Aveces;TransportePublico
18;Hombre;29;153;78;Si;No;Siempre;10;30;Frecuentemente;Automovil
19;Hombre;30;171;82;Si;No;Siempre;10;30;Frecuentemente;Automovil
20;Hombre;23;165;70;No;No;Siempre;10;30;Aveces;TransportePublico
21;Hombre;22;165;80;No;Si;Siempre;30;20;Aveces;Caminar
22;Hombre;52;169;87;Si;No;Siempre;10;30;Aveces;Automovil
23;Hombre;22;165;60;Si;No;Siempre;10;30;Aveces;Automovil
24;Mujer;22;162;82;Si;No;RaraVez;10;20;Aveces;TransportePublico
25;Hombre;21;185;102;Si;No;Siempre;10;10;Aveces;TransportePublico
26;Hombre;20;166;78;No;No;Siempre;30;20;Siempre;Caminar
27;Hombre;21;178;65;Si;Si;RaraVez;10;20;Siempre;Caminar
28;Mujer;23;165;70;Si;No;Siempre;20;10;Aveces;Automovil
29;Hombre;19;175;76;Si;No;Siempre;30;10;Aveces;TransportePublico
30;Hombre;23;168;70;Si;No;RaraVez;20;20;Frecuentemente;Caminar
31;Hombre;29;177;83;Si;No;RaraVez;10;10;Siempre;Moto
32;Mujer;31;158;68;No;No;RaraVez;10;30;Aveces;TransportePublico
33;Mujer;24;177;76;No;No;RaraVez;10;10;Aveces;Caminar
34;Hombre;39;179;90;No;No;RaraVez;10;30;Aveces;TransportePublico
35;Hombre;22;165;62;Si;No;RaraVez;20;30;Aveces;TransportePublico
36;Mujer;21;159;65;No;Si;Siempre;20;20;Aveces;TransportePublico
37;Mujer;22;156;140;Si;Si;Siempre;20;30;Aveces;Caminar
38;Mujer;21;164;127;Si;No;RaraVez;10;30;Aveces;TransportePublico
39;Hombre;23;165;67;Si;Si;Siempre;10;10;Aveces;TransportePublico
40;Mujer;21;175;88;Si;Si;RaraVez;30;30;Aveces;TransportePublico
41;Mujer;21;167;75;Si;No;RaraVez;10;30;Aveces;TransportePublico
42;Hombre;23;168;60;No;No;RaraVez;10;30;Aveces;Caminar
43;Mujer;21;166;64;Si;No;RaraVez;10;30;Aveces;TransportePublico
44;Hombre;21;166;62;Si;No;Siempre;10;10;Frecuentemente;TransportePublico
45;Hombre;21;181;80;No;No;RaraVez;20;30;Aveces;TransportePublico
